epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,3209.25,0.67948,0.59877,0.20401,0.3399,0.33439,0.25638,0.13334,0.67764,0.70169,0.2991,0.0265106,0.00883687,0.0265106,0.00883687,0.0265106,0.00883687,0.0265106,0.00883687
51,3273.21,0.66376,0.5896,0.20088,0.33739,0.31263,0.24729,0.13002,0.68976,0.70906,0.30664,0.0263729,0.00879096,0.0263729,0.00879096,0.0263729,0.00879096,0.0263729,0.00879096
52,3336.74,0.66489,0.5958,0.20126,0.34609,0.31978,0.2575,0.13427,0.70598,0.69023,0.31314,0.0262329,0.00874429,0.0262329,0.00874429,0.0262329,0.00874429,0.0262329,0.00874429
53,3400.51,0.67787,0.59143,0.20443,0.34164,0.33272,0.25456,0.13338,0.68914,0.69375,0.30384,0.0260906,0.00869687,0.0260906,0.00869687,0.0260906,0.00869687,0.0260906,0.00869687
54,3463.98,0.67764,0.58994,0.2026,0.3422,0.33917,0.26576,0.14256,0.67412,0.69026,0.29966,0.0259461,0.0086487,0.0259461,0.0086487,0.0259461,0.0086487,0.0259461,0.0086487
55,3527.66,0.66173,0.58877,0.20006,0.33895,0.3479,0.2604,0.13925,0.67606,0.7049,0.3007,0.0257994,0.0085998,0.0257994,0.0085998,0.0257994,0.0085998,0.0257994,0.0085998
56,3590.93,0.65317,0.58539,0.19558,0.34773,0.34641,0.2722,0.1421,0.71238,0.67432,0.31466,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
57,3655.12,0.65819,0.5877,0.20112,0.35795,0.33797,0.26502,0.14185,0.67196,0.69523,0.30423,0.0254995,0.00849984,0.0254995,0.00849984,0.0254995,0.00849984,0.0254995,0.00849984
58,3719.03,0.65824,0.58466,0.19534,0.34133,0.35057,0.26225,0.13867,0.69964,0.68106,0.31321,0.0253464,0.0084488,0.0253464,0.0084488,0.0253464,0.0084488,0.0253464,0.0084488
59,3783.04,0.6512,0.58411,0.19798,0.34932,0.34042,0.26714,0.1412,0.68686,0.69468,0.30275,0.0251912,0.00839707,0.0251912,0.00839707,0.0251912,0.00839707,0.0251912,0.00839707
60,3847.21,0.66341,0.58469,0.19472,0.35408,0.32756,0.27068,0.14481,0.67828,0.7056,0.30223,0.0250339,0.00834465,0.0250339,0.00834465,0.0250339,0.00834465,0.0250339,0.00834465
61,3912.47,0.64893,0.57975,0.19431,0.36797,0.30065,0.26369,0.14062,0.68919,0.69623,0.30984,0.0248747,0.00829156,0.0248747,0.00829156,0.0248747,0.00829156,0.0248747,0.00829156
62,3976.58,0.65439,0.57861,0.19292,0.3626,0.33159,0.26308,0.13824,0.70112,0.68787,0.31139,0.0247134,0.00823781,0.0247134,0.00823781,0.0247134,0.00823781,0.0247134,0.00823781
63,4040.35,0.64097,0.5846,0.19041,0.36072,0.31256,0.25747,0.13627,0.70606,0.70478,0.31692,0.0245502,0.00818341,0.0245502,0.00818341,0.0245502,0.00818341,0.0245502,0.00818341
64,4104.3,0.63651,0.57595,0.19053,0.33514,0.34689,0.26794,0.14265,0.6921,0.68667,0.31077,0.0243851,0.00812837,0.0243851,0.00812837,0.0243851,0.00812837,0.0243851,0.00812837
65,4168.37,0.63553,0.57667,0.18916,0.34195,0.3305,0.25576,0.13236,0.70418,0.70831,0.32031,0.0242181,0.00807271,0.0242181,0.00807271,0.0242181,0.00807271,0.0242181,0.00807271
66,4232.47,0.63053,0.58119,0.19119,0.34358,0.33727,0.26755,0.13839,0.69212,0.70756,0.31287,0.0240493,0.00801642,0.0240493,0.00801642,0.0240493,0.00801642,0.0240493,0.00801642
67,4296.71,0.62823,0.57265,0.19219,0.38673,0.29545,0.25819,0.13633,0.69972,0.71383,0.32107,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
68,4360.8,0.6231,0.57543,0.18547,0.36474,0.32111,0.26148,0.13786,0.69437,0.69142,0.31523,0.0237062,0.00790206,0.0237062,0.00790206,0.0237062,0.00790206,0.0237062,0.00790206
69,4425.03,0.63354,0.57365,0.18769,0.38674,0.32011,0.26092,0.13666,0.70591,0.69738,0.32293,0.023532,0.00784399,0.023532,0.00784399,0.023532,0.00784399,0.023532,0.00784399
70,4488.99,0.63528,0.56978,0.18764,0.33766,0.33022,0.25862,0.1354,0.71404,0.70258,0.32448,0.0233561,0.00778536,0.0233561,0.00778536,0.0233561,0.00778536,0.0233561,0.00778536
71,4553.23,0.62652,0.56935,0.18482,0.35668,0.32925,0.26333,0.13894,0.70949,0.70363,0.32317,0.0231785,0.00772617,0.0231785,0.00772617,0.0231785,0.00772617,0.0231785,0.00772617
72,4617.43,0.61651,0.57138,0.18572,0.35426,0.31409,0.25574,0.13392,0.71342,0.70999,0.32126,0.0229993,0.00766644,0.0229993,0.00766644,0.0229993,0.00766644,0.0229993,0.00766644
73,4681.69,0.6181,0.56399,0.18235,0.32681,0.32128,0.24657,0.12877,0.7219,0.70457,0.32815,0.0228185,0.00760617,0.0228185,0.00760617,0.0228185,0.00760617,0.0228185,0.00760617
74,4745.99,0.61057,0.56404,0.18177,0.36434,0.30963,0.26275,0.13952,0.71767,0.71691,0.32427,0.0226361,0.00754538,0.0226361,0.00754538,0.0226361,0.00754538,0.0226361,0.00754538
75,4810.06,0.61261,0.56905,0.18069,0.38869,0.31805,0.26231,0.13939,0.70368,0.71871,0.31556,0.0224522,0.00748408,0.0224522,0.00748408,0.0224522,0.00748408,0.0224522,0.00748408
76,4874.26,0.60961,0.56124,0.18012,0.36615,0.33196,0.26503,0.13832,0.7143,0.71631,0.32626,0.0222668,0.00742228,0.0222668,0.00742228,0.0222668,0.00742228,0.0222668,0.00742228
77,4938.75,0.60213,0.56523,0.17838,0.35591,0.31815,0.26258,0.13904,0.7142,0.71087,0.32395,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
78,5002.99,0.61589,0.55598,0.17857,0.34285,0.31911,0.25042,0.13125,0.71686,0.73216,0.32662,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
